No,Link,Sentiment,Penerbit,Tag
1,https://money.kompas.com/image/2017/10/03/181500926/csr-pertamina-lubricants-kini-fokus-ke-penciptaan-kemandirian-ekonomi,Netral,money.kompas.com,Ekonomi
2,https://money.kompas.com/read/2016/06/06/142802426/gandeng.dua.bank.pertamina.lubricants.yakin.penjualan.pelumas.terdongkrak.,Positif,money.kompas.com,Kecelakaan Kerja
3,https://money.kompas.com/read/2017/02/03/121955826/dua.pucuk.pimpinan.pertamina.dicopot.yenni.andayani.jabat.plt.dirut,Positif,money.kompas.com,Migas
4,https://money.kompas.com/read/2016/05/27/204344726/ini.yang.dilakukan.ptkam.untuk.efisiensi.oil.losses.pertamina,Positif,money.kompas.com,Gangguan Operasional
5,https://money.kompas.com/read/2017/03/24/112000626/ini.tugas.pertama.adiatma.sardjito.sebagai.jubir.baru.pertamina,Positif,money.kompas.com,Migas
6,https://money.kompas.com/read/2017/01/16/153000226/akhirnya.proyek.kilang.tuban.gunakan.lahan.klhk.di.tanjung.awar-awar,Positif,money.kompas.com,Migas
7,https://nasional.kompas.com/read/2017/11/03/15521211/jadi-tersangka-dana-pensiun-pertamina-edward-soeryadjaya-dicegah-ke-luar,Negatif,nasional.kompas.com,Hukum
8,https://nasional.kompas.com/read/2017/08/16/16453681/viral-video-pertamax-dan-pertalite-berwarna-sama-ini-penjelasan-pertamina,Netral,nasional.kompas.com,BBM
9,https://otomotif.kompas.com/read/2017/04/21/130200415/spesial.buat.wanita.di.spbu.pertamina,Netral,otomotif.kompas.com,BBM
10,https://money.kompas.com/image/2017/08/03/090000026/cegah-kepunahan-pertamina-lestarikan-tuntong-laut-di-aceh-tamiang,Positif,money.kompas.com,Bisnis
11,https://money.kompas.com/read/2016/04/29/191518826/Pertamina.Ekspor.Perdana.Aspal.ke.Timor.Leste,Positif,money.kompas.com,Migas
12,https://money.kompas.com/read/2016/11/14/152904626/menteri.bumn.angkat.arcandra.tahar.jadi.wakil.komisaris.utama.pertamina,Netral,money.kompas.com,Hukum
13,https://money.kompas.com/read/2016/04/11/173454626/Pertamina.Menaikkan.Ongkos.Angkut.Minyak.Penambang.Tradisional.,Positif,money.kompas.com,Migas
14,https://money.kompas.com/read/2017/04/17/121600626/pertamina.kuasai.saham.perusahaan.perancis,Positif,money.kompas.com,Migas
15,https://money.kompas.com/image/2017/11/27/165608726/ini-dua-fokus-csr-pertamina-patra-niaga?page=2,Positif,money.kompas.com,Akademik
16,https://money.kompas.com/image/2016/11/01/192929926/pertamina.tegaskan.kelangkaan.bbm.hanyalah.hoax,Negatif,money.kompas.com,BBM
17,https://nasional.kompas.com/read/2017/06/09/20550911/mantan.dirut.pertamina.transkontinental.ditetapkan.sebagai.tersangka,Netral,nasional.kompas.com,Hukum
18,https://biz.kompas.com/read/2017/06/09/154041828/belasan.komunitas.mobil.berbuka.bersama.pertamina.lubricants,Netral,biz.kompas.com,BBM
19,https://olahraga.kompas.com/read/2017/04/01/20203251/tri.retno.mutiara.dan.kekompakan.tim.putri.pertamina,Positif,olahraga.kompas.com,Lainnya
20,https://money.kompas.com/image/2017/03/24/113000126/ke.mana.wianda.pusponegoro.setelah.tak.lagi.jadi.jubir.pertamina,Netral,money.kompas.com,Lainnya
21,https://otomotif.kompas.com/read/2017/09/16/165100715/setelah-tol-beli-bbm-juga-wajib-pakai-uang-elektronik,Negatif,otomotif.kompas.com,BBM
